"","player","pos","age","bref_team_id","g","gs","mp","fg","fga","fg.","x3p","x3pa","x3p.","x2p","x2pa","x2p.","ft","fta","ft.","orb","drb","trb","ast","stl","blk","tov","pf","pts","table_name","season","data_source","scrape_time"
"2920","Brendan Haywood","C",29,"WAS",6,5,29.2,4,8.3,48,0,0,0,4,8.3,48,1.7,3.5,47.6,2.2,5.2,7.3,1.3,0.7,2.5,1.5,2.3,9.7,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2921","Luther Head","PG",26,"TOT",32,4,15.6,1.7,4.5,38.2,0.6,1.7,37,1.1,2.8,38.9,0.6,0.8,79.2,0.2,1.4,1.6,1.8,0.5,0.1,0.8,1.2,4.7,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2922","Walter Herrmann","SF",29,"DET",59,0,10.7,1.4,3.5,39.6,0.7,2,34.2,0.7,1.5,47.1,0.3,0.4,76,0.5,1.3,1.8,0.4,0.1,0.1,0.3,0.7,3.8,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2923","Roy Hibbert","C",22,"IND",70,42,14.4,2.8,6,47.1,0,0,0,2.8,6,47.1,1.4,2.1,66.7,1.6,1.8,3.5,0.7,0.3,1.1,0.8,3.1,7.1,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2924","J.J. Hickson","C",20,"CLE",62,0,11.4,1.6,3.1,51.5,0,0,0,1.6,3.1,51.5,0.7,1.1,67.2,0.8,1.8,2.7,0.1,0.2,0.5,0.7,1.3,4,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2925","Nene Hilario","C",26,"DEN",77,76,32.6,5.6,9.2,60.4,0,0.1,20,5.5,9.1,60.7,3.5,4.8,72.3,2.4,5.4,7.8,1.4,1.2,1.3,1.9,3.6,14.6,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2926","George Hill","PG",22,"SAS",77,7,16.5,1.9,4.8,40.3,0.3,0.9,32.9,1.6,3.9,42.1,1.5,1.9,78.1,0.4,1.7,2.1,1.8,0.6,0.3,1,1.9,5.7,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2927","Grant Hill","SF",36,"PHO",82,68,29.8,4.8,9.1,52.3,0.3,0.9,31.6,4.5,8.2,54.7,2.2,2.7,80.8,0.8,4.2,4.9,2.3,1.1,0.7,1.5,2.2,12,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2928","Steven Hill","PF",23,"OKC",1,0,2,1,1,100,0,0,0,1,1,100,0,0,0,2,1,3,0,0,0,0,0,2,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2929","Kirk Hinrich","SG",28,"CHI",51,4,26.3,3.6,8.2,43.7,1.4,3.3,40.8,2.2,4.9,45.6,1.3,1.7,79.1,0.3,2.1,2.4,3.9,1.3,0.4,1.7,2.5,9.9,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
